[2025-09-24 17:46:08,613][__main__][INFO] - =====Running train script=====
[2025-09-24 17:46:08,648][__main__][INFO] - Fetched main configs, save directory : ../outputs/norm/traffic/lags504_horizon504/seed_1/instance_NMSE/
[2025-09-24 17:46:08,649][__main__][INFO] - Model PatchTST, norma instance, criterion NMSE, kwargs {'last': False, 'latent': False}
[2025-09-24 17:46:12,123][__main__][INFO] - Fetched dataloaders
[2025-09-24 17:46:12,123][__main__][INFO] - Splits shapes:
train	(689, 1, 10526)
valid1	(689, 1, 3509)
valid2	(173, 1, 10526)
valid3	(173, 1, 3509)
test1	(689, 1, 3509)
test2	(173, 1, 3509)
[2025-09-24 17:46:12,123][__main__][INFO] - Batches:
 X=[64, 1, 504]
 y=[64, 1, 504]
[2025-09-25 08:06:51,686][__main__][INFO] - Step 1700 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3419
[2025-09-25 08:12:33,874][__main__][INFO] - Step 1800 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3409
[2025-09-25 08:18:16,265][__main__][INFO] - Step 1900 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3401
[2025-09-25 08:23:59,137][__main__][INFO] - Step 2000 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3390
[2025-09-25 08:29:42,550][__main__][INFO] - Step 2100 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3383
[2025-09-25 08:35:24,687][__main__][INFO] - Step 2200 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3379
[2025-09-25 08:41:06,563][__main__][INFO] - Step 2300 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3371
[2025-09-25 08:46:48,884][__main__][INFO] - Step 2400 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3365
[2025-09-25 08:52:30,721][__main__][INFO] - Step 2500 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3361
[2025-09-25 08:58:13,073][__main__][INFO] - Step 2600 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3354
[2025-09-25 09:03:54,582][__main__][INFO] - Step 2700 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3353
[2025-09-25 09:09:36,682][__main__][INFO] - Step 2800 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3346
[2025-09-25 09:15:18,812][__main__][INFO] - Step 2900 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3348
[2025-09-25 09:21:01,076][__main__][INFO] - Step 3000 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3342
[2025-09-25 09:26:44,030][__main__][INFO] - Step 3100 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3337
[2025-09-25 09:32:28,465][__main__][INFO] - Step 3200 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3333
[2025-09-25 09:38:12,402][__main__][INFO] - Step 3300 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3330
[2025-09-25 09:43:56,541][__main__][INFO] - Step 3400 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3331
